# Time-averaged data for fix COMOUT
# TimeStep c_COM[1] c_COM[2] c_COM[3]
49200 24.1932 -5.39324 -1.54583
49300 24.2846 -5.42917 -1.65554
49400 24.3434 -5.45644 -1.6933
49500 24.3546 -5.50924 -1.78145
49600 24.3869 -5.64993 -1.84817
49700 24.4422 -5.77551 -1.95607
49800 24.5 -5.84965 -1.95205
49900 24.501 -5.84385 -1.93176
50000 24.5241 -5.82891 -1.94347
50100 24.4719 -5.85274 -2.03931
50200 24.3698 -5.87638 -2.15447
50300 24.3296 -5.90884 -2.15529
50400 24.3137 -5.94694 -2.13415
50500 24.4051 -5.91527 -2.14885
50600 24.4905 -5.94171 -2.1266
50700 24.6264 -5.99531 -2.06758
50800 24.6901 -6.0808 -2.04187
50900 24.6408 -6.18001 -2.04115
51000 24.685 -6.14794 -2.10062
51100 24.7205 -6.09154 -2.15255
51200 24.7714 -6.08613 -2.21921
51300 24.8235 -6.04866 -2.26762
51400 24.865 -6.04341 -2.33586
51500 24.8234 -6.00565 -2.28887
51600 24.7929 -5.96873 -2.33273
51700 24.8432 -5.96244 -2.33895
51800 24.9121 -5.88995 -2.34771
51900 24.8486 -5.91991 -2.38648
52000 24.8095 -6.0291 -2.46263
52100 24.8374 -6.0854 -2.53264
52200 24.7912 -6.16467 -2.56107
52300 24.7468 -6.17398 -2.62397
52400 24.783 -6.19855 -2.58001
52500 24.7814 -6.26796 -2.55464
52600 24.6754 -6.23039 -2.46523
52700 24.6287 -6.15246 -2.47762
52800 24.5496 -6.12697 -2.56799
52900 24.5507 -6.2281 -2.61544
53000 24.5923 -6.29813 -2.64145
53100 24.5685 -6.28155 -2.58599
53200 24.4767 -6.2629 -2.4522
53300 24.4118 -6.31222 -2.35039
53400 24.4637 -6.35618 -2.3522
53500 24.5483 -6.40062 -2.40981
53600 24.641 -6.43584 -2.48316
53700 24.7299 -6.43337 -2.57352
53800 24.7521 -6.44242 -2.65236
53900 24.7493 -6.44634 -2.70838
54000 24.7318 -6.42716 -2.7613
54100 24.6643 -6.32813 -2.84317
54200 24.5398 -6.35218 -2.86125
54300 24.4247 -6.39337 -2.94396
54400 24.3951 -6.36565 -2.94805
54500 24.4194 -6.35876 -2.86725
54600 24.3325 -6.3523 -2.9363
54700 24.2263 -6.25925 -2.9363
54800 24.135 -6.3423 -2.92384
54900 24.2149 -6.40059 -2.90667
55000 24.2445 -6.41293 -2.88734
55100 24.2485 -6.41394 -2.88823
55200 24.2255 -6.38502 -2.91464
55300 24.182 -6.43435 -2.894
55400 24.2127 -6.40111 -2.85025
55500 24.2274 -6.31 -2.78196
55600 24.3148 -6.18004 -2.77933
55700 24.3448 -6.09675 -2.73393
55800 24.3654 -6.06922 -2.70009
55900 24.3137 -6.01682 -2.68993
56000 24.1843 -6.0034 -2.72945
56100 24.0941 -6.00197 -2.79225
56200 24.1187 -5.91919 -2.84882
56300 24.1629 -5.87273 -2.85571
56400 24.1056 -5.81008 -2.89516
56500 24.0634 -5.71366 -2.83681
56600 24.0675 -5.59048 -2.78324
56700 23.9592 -5.50464 -2.68346
56800 23.8964 -5.50873 -2.62732
56900 23.811 -5.57874 -2.55667
57000 23.7121 -5.62855 -2.54245
57100 23.6693 -5.63261 -2.43864
57200 23.6864 -5.56975 -2.31251
57300 23.695 -5.53894 -2.26051
57400 23.7317 -5.53248 -2.30415
57500 23.7745 -5.48098 -2.28868
57600 23.8226 -5.50785 -2.27805
57700 23.7169 -5.6003 -2.34376
57800 23.6161 -5.60085 -2.37625
57900 23.5929 -5.5975 -2.41088
58000 23.5807 -5.58738 -2.41192
58100 23.6692 -5.62259 -2.34721
58200 23.7252 -5.56538 -2.24207
58300 23.7407 -5.52486 -2.19204
58400 23.7753 -5.54408 -2.1746
58500 23.7791 -5.56623 -2.1155
58600 23.8012 -5.54911 -2.07262
58700 23.8057 -5.49798 -2.15904
58800 23.7935 -5.46368 -2.1669
58900 23.712 -5.44093 -2.1106
59000 23.7268 -5.51613 -2.06349
59100 23.7353 -5.54585 -2.00448
59200 23.7176 -5.4625 -1.98979
59300 23.6619 -5.49565 -1.95241
59400 23.6584 -5.53878 -1.92944
59500 23.6284 -5.52901 -1.98222
59600 23.6419 -5.5056 -2.00172
59700 23.5939 -5.5153 -1.97872
59800 23.5504 -5.56817 -1.93303
59900 23.514 -5.58764 -1.88355
60000 23.5898 -5.58606 -1.82388
60100 23.5249 -5.62935 -1.76294
60200 23.5358 -5.73678 -1.71996
60300 23.6165 -5.86852 -1.71552
60400 23.663 -5.92167 -1.68553
60500 23.659 -5.94657 -1.62181
60600 23.7478 -5.98532 -1.61251
60700 23.7821 -6.02373 -1.54318
60800 23.9354 -5.96851 -1.51309
60900 23.9932 -5.95327 -1.4784
61000 23.9798 -5.90382 -1.44072
61100 24.0189 -5.84443 -1.40092
61200 24.0891 -5.81425 -1.42465
61300 24.1163 -5.80996 -1.46766
61400 24.0228 -5.85107 -1.6283
61500 23.9357 -5.92663 -1.81052
61600 23.9812 -5.92922 -1.84593
61700 24.0414 -5.94165 -1.90774
61800 24.1084 -5.99047 -1.94084
61900 24.1415 -5.95547 -2.00865
62000 24.0943 -5.87096 -1.97242
62100 24.0445 -5.86195 -1.97598
62200 23.9879 -5.93257 -1.99888
62300 23.9994 -6.02641 -2.05776
62400 23.9784 -6.01129 -2.08636
62500 24.0094 -6.00885 -2.06454
62600 24.0119 -6.00853 -2.15822
62700 24.1283 -5.93891 -2.26284
62800 24.203 -5.96392 -2.27701
62900 24.3102 -5.92932 -2.23333
63000 24.3726 -5.85458 -2.21584
63100 24.4853 -5.85888 -2.16606
63200 24.6559 -5.86747 -2.19526
63300 24.8027 -5.85007 -2.0856
63400 24.8855 -5.91155 -1.98754
63500 24.8264 -5.94805 -1.98818
63600 24.7916 -6.00735 -1.99951
63700 24.7216 -6.08363 -1.9069
63800 24.6258 -6.22367 -1.99021
63900 24.4781 -6.4323 -2.07026
64000 24.4797 -6.49598 -2.14608
64100 24.4826 -6.61875 -2.17279
64200 24.4861 -6.75575 -2.16345
64300 24.5132 -6.86379 -2.1498
64400 24.5038 -6.81559 -2.14627
64500 24.5695 -6.83676 -2.10227
64600 24.5579 -6.81598 -2.00864
64700 24.5848 -6.79139 -1.94042
64800 24.6687 -6.71857 -1.94796
64900 24.5812 -6.74503 -1.96806
65000 24.5495 -6.76244 -1.97171
65100 24.5074 -6.77041 -2.00967
65200 24.459 -6.72841 -2.01806
65300 24.4285 -6.63278 -2.02068
65400 24.4497 -6.66058 -1.93065
65500 24.4701 -6.63353 -1.75627
65600 24.4845 -6.5195 -1.69323
65700 24.5621 -6.54433 -1.67811
65800 24.6836 -6.52106 -1.758
65900 24.7362 -6.51179 -1.87552
66000 24.7336 -6.4787 -1.89214
66100 24.6797 -6.44288 -1.91005
66200 24.6085 -6.41804 -1.91387
66300 24.5881 -6.39904 -1.93144
66400 24.6019 -6.26512 -1.97835
66500 24.5865 -6.16139 -1.96568
66600 24.5116 -6.14809 -1.94397
66700 24.3925 -6.21875 -1.96999
66800 24.3785 -6.23102 -1.96858
66900 24.3474 -6.20817 -1.89719
67000 24.3598 -6.16506 -1.85831
67100 24.4354 -6.27297 -1.85622
67200 24.4397 -6.30585 -1.79596
67300 24.3448 -6.28892 -1.88338
67400 24.3256 -6.25438 -1.96133
67500 24.319 -6.17444 -1.96859
67600 24.2946 -6.13672 -1.90776
67700 24.2603 -6.15217 -1.78019
67800 24.2362 -6.18111 -1.7378
67900 24.2091 -6.24467 -1.76187
68000 24.179 -6.27715 -1.64078
68100 24.1839 -6.36466 -1.55156
68200 24.2319 -6.41277 -1.47397
68300 24.1838 -6.43763 -1.47877
68400 24.0931 -6.47467 -1.50816
68500 24.0435 -6.41414 -1.53507
68600 24.0207 -6.32454 -1.60974
68700 23.9957 -6.32274 -1.53165
68800 23.9723 -6.3452 -1.52454
68900 23.9663 -6.37531 -1.48602
69000 24.048 -6.47391 -1.40072
69100 24.117 -6.5867 -1.25669
69200 24.1341 -6.66933 -1.20868
69300 24.1206 -6.73906 -1.2472
69400 24.1879 -6.82054 -1.33694
69500 24.2123 -6.86721 -1.38028
69600 24.1446 -6.89099 -1.49088
69700 24.0621 -6.98925 -1.66936
69800 24.038 -7.03959 -1.70474
69900 24.0055 -7.06005 -1.70574
70000 23.9805 -7.05262 -1.70857
70100 23.9774 -7.01403 -1.71611
70200 24.0407 -6.97927 -1.75478
70300 23.9896 -6.91307 -1.81328
70400 23.8912 -6.81136 -1.84959
70500 23.8172 -6.81218 -1.79544
70600 23.8295 -6.89031 -1.80034
70700 23.7894 -7.00337 -1.88921
70800 23.7941 -7.03843 -2.0063
70900 23.7681 -7.00781 -2.01714
71000 23.7866 -7.02586 -1.92385
71100 23.8248 -6.98235 -1.92955
71200 23.7944 -6.98429 -1.98685
